ID_Exp;Exp;ID_GBX;Insect_family;Hmin;Smin;Vmin;Hmax;Smax;Vmax;Blur;Erodex;Erodey;Areamin;Areamax;algo_number;widthmean;heightmean;method;real_number;precision;absolute_precision;size_conservation;counting_zone;density;overlap;variability;colored_variability;real_density
Box44;gblack;NA;Cetoniinae;0;0;85;179;123;255;1;1;1;50000;2000000;111;390,6486486;615,7207207;TERVUREN;138;19,56521739;19,56521739;3;NA;3;2;0;0;33193204,51
Box45;gblack;NA;Cetoniinae;0;0;0;28;255;255;39;1;1;17568;2000000;185;225,1837838;378,9135135;TERVUREN;186;0,537634409;0,537634409;2;NA;3;3;0;0;15870483,24
Box46;gblack;NA;Cetoniinae;16;0;0;179;153;255;29;1;135;6046;2000000;359;171,4707521;193,632312;TERVUREN;378;5,026455026;5,026455026;2;NA;3;3;0;0;12550461,15
Box47;gblack;NA;Cetoniinae;0;0;0;88;255;255;1;1;1;9957;2000000;242;236,9256198;369,8099174;TERVUREN;252;3,968253968;3,968253968;3;NA;3;3;0;0;22079595,86
Box48;gblack;NA;Coprini;9;0;31;118;117;255;45;1;39;50000;2000000;49;562,3877551;819,3877551;TERVUREN;48;-2,083333333;2,083333333;3;NA;2;2;0;0;22119054,73
Box49;gblack;NA;Danaidae;16;0;0;179;255;255;83;413;1;14509;2000000;76;422,1315789;117;TERVUREN;69;-10,14492754;10,14492754;0;NA;3;3;0;0;3407868,237
Box50;gblack;NA;Dytiscidae;0;0;83;114;138;255;25;1;1;12091;2000000;278;138,823741;257,7517986;TERVUREN;273;-1,831501832;1,831501832;3;NA;3;0;0;0;9768504,817
Box51;gblack;NA;Hydrophilidae;0;0;86;179;255;255;11;1;1;16501;2000000;204;226,5294118;400,7107843;TERVUREN;223;8,520179372;8,520179372;3;NA;3;2;0;0;20242329,55
Box52;gblack;NA;Nymphalidae;16;0;0;179;255;255;53;1;75;12660;2000000;72;222,9027778;381,25;TERVUREN;70;-2,857142857;2,857142857;0;NA;3;3;0;0;5948717,882
Box53;gblack;NA;Nymphalidae;18;0;0;179;255;255;15;139;1;50000;2000000;40;659,675;490,775;TERVUREN;40;0;0;1;NA;3;3;0;0;12950079,93
Box54;gblack;NA;Nymphalidae;0;0;92;179;255;255;67;1;1;2205;2000000;78;84,56410256;154,2435897;TERVUREN;63;-23,80952381;23,80952381;0;NA;2;3;0;3;821738,6568
Box55;gblack;NA;Nymphalidae;0;0;64;179;255;255;47;1;1;34780;2000000;50;874,76;423,84;TERVUREN;52;3,846153846;3,846153846;1;NA;3;3;0;0;19279430,48
Box56;gblack;NA;Polycentropopidae;0;0;0;179;78;255;61;1;1;0;2000000;46;137,3913043;109,2826087;TERVUREN;34;-35,29411765;35,29411765;2;NA;0;0;1;0;510492,3251
Box57;gblack;NA;Pterostichinae;15;0;37;179;255;255;15;1;1;5619;2000000;389;86,06426735;197,8766067;TERVUREN;392;0,765306122;0,765306122;3;NA;3;1;0;0;6675801,231
Box58;gblack;NA;Scarabaeidae;0;0;64;117;255;255;51;1;53;2987;2000000;74;187,3108108;259,1216216;TERVUREN;67;-10,44776119;10,44776119;3;NA;1;1;3;0;3251930,83
Box59;gblack;NA;Sphingidae;19;0;0;179;255;255;25;103;1;50000;2000000;63;791,3333333;328,6349206;TERVUREN;59;-6,779661017;6,779661017;3;NA;1;1;0;0;15343526,26
